SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
26,AR,Arunachal Pradesh,AR_Longding,Longding,249,1,248,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,474,3,471,0,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,286,1,285,0,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,381,0,380,1,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,429,4,421,4,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,129,0,129,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,6754,39,6686,29,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,104,0,104,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,133,1,131,1,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,477,30,445,2,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,586,1,583,2,0,0,0,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,23,0,23,0,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,360,1,359,0,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,441,0,439,2,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,921,11,906,4,0,0,0,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,1029,2,1024,3,0,0,0,0,0,,
0,AS,Assam,AS_Airport Quarantine,Airport Quarantine,13,0,13,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,687,233,447,7,0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,1121,84,1024,13,0,0,0,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,467,80,379,8,0,0,0,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,1303,462,834,7,0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,6216,4677,1498,41,0,0,0,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,113,-3,105,11,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,280,53,219,8,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,1967,219,1730,18,0,0,0,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,765,317,440,8,0,0,0,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,1723,496,1215,12,0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,9486,6975,2409,102,0,0,0,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,237,36,199,2,0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,658,38,568,10,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,3803,2101,1656,46,0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,1632,509,1116,7,0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,1646,472,1160,14,0,0,0,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,8771,6965,1752,54,0,0,0,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,4590,2481,2074,35,0,0,0,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,50161,34639,15370,152,0,0,0,0,0,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,632,69,552,11,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,1200,219,955,26,0,0,0,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,408,43,353,12,0,0,0,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,3006,1847,1135,24,0,0,0,0,0,,
65,AS,Assam,AS_Majuli,Majuli,165,79,80,6,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,638,72,557,9,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,4515,1983,2506,26,0,0,0,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,948,103,828,17,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,529,21,473,35,0,0,0,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,2548,802,1727,19,0,0,0,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,51,3,47,1,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,3366,1525,1798,43,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,758,84,666,8,0,0,0,0,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,39,1,37,1,0,0,0,0,0,,
75,BR,Bihar,BR_Araria,Araria,7157,50,7085,22,0,0,0,0,0,,
76,BR,Bihar,BR_Arwal,Arwal,2313,53,2249,11,0,0,0,0,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,5186,85,5086,15,0,0,0,0,0,,
78,BR,Bihar,BR_Banka,Banka,3446,101,3326,19,0,0,0,0,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,7707,134,7539,34,0,0,0,0,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,9369,129,9164,76,0,0,0,0,0,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,4968,39,4887,42,0,0,0,0,0,,
82,BR,Bihar,BR_Buxar,Buxar,3973,37,3918,18,0,0,0,0,0,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,4038,47,3959,32,0,0,0,0,0,,
101,BR,Bihar,BR_East Champaran,East Champaran,8320,69,8201,50,0,0,0,0,0,,
84,BR,Bihar,BR_Gaya,Gaya,7772,111,7602,59,0,0,0,0,0,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,5722,54,5653,15,0,0,0,0,0,,
86,BR,Bihar,BR_Jamui,Jamui,3141,20,3111,10,0,0,0,0,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,4461,71,4370,20,0,0,0,0,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,2062,17,2035,10,0,0,0,0,0,,
89,BR,Bihar,BR_Katihar,Katihar,7168,59,7097,12,0,0,0,0,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,3070,20,3038,12,0,0,0,0,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,4279,114,4152,13,0,0,0,0,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,3717,141,3567,9,0,0,0,0,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,4815,37,4761,17,0,0,0,0,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,7599,40,7526,33,0,0,0,0,0,,
95,BR,Bihar,BR_Munger,Munger,4148,49,4049,50,0,0,0,0,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,11568,264,11259,45,0,0,0,0,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,8113,95,7962,56,0,0,0,0,0,,
98,BR,Bihar,BR_Nawada,Nawada,4146,140,3983,23,0,0,0,0,0,,
100,BR,Bihar,BR_Patna,Patna,48758,1864,46516,378,0,0,0,0,0,,
102,BR,Bihar,BR_Purnia,Purnia,9256,59,9174,23,0,0,0,0,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,6684,39,6600,45,0,0,0,0,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,6732,86,6634,12,0,0,0,0,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,5182,35,5113,34,0,0,0,0,0,,
106,BR,Bihar,BR_Saran,Saran,7127,213,6861,53,0,0,0,0,0,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,2977,5,2959,13,0,0,0,0,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,1440,34,1405,1,0,0,0,0,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,4354,70,4270,14,0,0,0,0,0,,
110,BR,Bihar,BR_Siwan,Siwan,4675,65,4579,31,0,0,0,0,0,,
111,BR,Bihar,BR_Supaul,Supaul,5577,33,5526,18,0,0,0,0,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,5400,68,5285,46,1,0,0,0,0,,
99,BR,Bihar,BR_West Champaran,West Champaran,5980,73,5885,22,0,0,0,0,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,19682,399,18967,316,0,0,0,0,0,,
0,CT,Chhattisgarh,CT_Other State,Other State,454,61,338,55,0,0,0,0,0,,
114,CT,Chhattisgarh,CT_Balod,Balod,9026,564,8377,85,0,0,0,0,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,8858,111,8619,128,0,0,0,0,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,3411,146,3253,12,0,0,0,0,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,4467,260,4154,53,0,0,0,0,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,7566,175,7308,83,0,0,0,0,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,3980,19,3933,28,0,0,0,0,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,17888,432,17267,189,0,0,0,0,0,,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,5831,9,5806,16,0,0,0,0,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,7873,523,7243,107,0,0,0,0,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,22601,1502,20535,564,0,0,0,0,0,,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,3938,33,3858,47,0,0,0,0,0,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,18571,135,18219,217,0,0,0,0,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,3324,184,3117,23,0,0,0,0,0,,
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,5514,21,5424,69,0,0,0,0,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,4990,17,4947,26,0,0,0,0,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,15987,161,15716,110,0,0,0,0,0,,
130,CT,Chhattisgarh,CT_Koriya,Koriya,4711,80,4594,37,0,0,0,0,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,7914,273,7525,116,0,0,0,0,0,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,3829,37,3768,24,0,0,0,0,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,1915,42,1871,2,0,0,0,0,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,21233,219,20732,282,0,0,0,0,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,52529,4462,47350,717,0,0,0,0,0,,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,18260,1196,16897,167,0,0,0,0,0,,
137,CT,Chhattisgarh,CT_Sukma,Sukma,3717,51,3656,10,0,0,0,0,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,5681,510,5135,36,0,0,0,0,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,7396,462,6852,82,0,0,0,0,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,6015,79,5880,56,0,0,0,0,0,,
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,1061,175,877,9,0,0,0,0,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,31,0,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Other State,Other State,0,0,0,0,0,0,0,0,0,,
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,1645,5,1634,1,5,0,0,0,0,,
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,1404,3,1376,1,24,0,0,0,0,,
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,312,3,309,0,0,0,0,0,0,,
0,GA,Goa,GA_Other State,Other State,200,9,190,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
155,GA,Goa,GA_North Goa,North Goa,2668,1639,964,65,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
156,GA,Goa,GA_South Goa,South Goa,3511,1978,1407,126,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,GJ,Gujarat,GJ_Other State,Other State,162,0,159,3,0,0,0,0,0,,
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,57474,2916,52312,2246,0,0,0,0,0,,
158,GJ,Gujarat,GJ_Amreli,Amreli,3773,90,3651,32,0,0,0,0,0,,
159,GJ,Gujarat,GJ_Anand,Anand,2258,59,2182,17,0,0,0,0,0,,
160,GJ,Gujarat,GJ_Aravalli,Aravalli,1149,62,1061,26,0,0,0,0,0,,
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,4564,-48,4574,38,0,0,0,0,0,,
162,GJ,Gujarat,GJ_Bharuch,Bharuch,3845,138,3689,18,0,0,0,0,0,,
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,5818,89,5661,68,0,0,0,0,0,,
164,GJ,Gujarat,GJ_Botad,Botad,1028,69,947,12,0,0,0,0,0,,
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,863,14,846,3,0,0,0,0,0,,
167,GJ,Gujarat,GJ_Dahod,Dahod,2993,137,2849,7,0,0,0,0,0,,
187,GJ,Gujarat,GJ_Dang,Dang,149,8,141,0,0,0,0,0,0,,
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,1038,29,1004,5,0,0,0,0,0,,
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,8080,219,7756,105,0,0,0,0,0,,
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,2321,153,2144,24,0,0,0,0,0,,
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,10134,141,9958,35,0,0,0,0,0,,
171,GJ,Gujarat,GJ_Junagadh,Junagadh,4888,192,4663,33,0,0,0,0,0,,
173,GJ,Gujarat,GJ_Kheda,Kheda,2951,88,2847,16,0,0,0,0,0,,
172,GJ,Gujarat,GJ_Kutch,Kutch,3997,214,3750,33,0,0,0,0,0,,
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,1942,104,1831,7,0,0,0,0,0,,
174,GJ,Gujarat,GJ_Mehsana,Mehsana,6684,205,6441,38,0,0,0,0,0,,
176,GJ,Gujarat,GJ_Morbi,Morbi,3059,232,2809,18,0,0,0,0,0,,
177,GJ,Gujarat,GJ_Narmada,Narmada,1939,49,1889,1,0,0,0,0,0,,
178,GJ,Gujarat,GJ_Navsari,Navsari,1572,26,1538,8,0,0,0,0,0,,
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,4049,150,3878,21,0,0,0,0,0,,
180,GJ,Gujarat,GJ_Patan,Patan,4160,65,4042,53,0,0,0,0,0,,
181,GJ,Gujarat,GJ_Porbandar,Porbandar,701,11,686,4,0,0,0,0,0,,
182,GJ,Gujarat,GJ_Rajkot,Rajkot,20100,1019,18890,191,0,0,0,0,0,,
183,GJ,Gujarat,GJ_Sabarkantha,Sabarkantha,2782,133,2636,13,0,0,0,0,0,,
184,GJ,Gujarat,GJ_Surat,Surat,49277,1138,47174,965,0,0,0,0,0,,
185,GJ,Gujarat,GJ_Surendranagar,Surendranagar,3431,182,3237,12,0,0,0,0,0,,
186,GJ,Gujarat,GJ_Tapi,Tapi,1030,16,1008,6,0,0,0,0,0,,
188,GJ,Gujarat,GJ_Vadodara,Vadodara,24685,1959,22491,235,0,0,0,0,0,,
189,GJ,Gujarat,GJ_Valsad,Valsad,1362,20,1333,9,0,0,0,0,0,,
212,HP,Himachal Pradesh,HP_Bilaspur,Bilaspur,2846,194,2627,24,1,0,0,0,0,,
213,HP,Himachal Pradesh,HP_Chamba,Chamba,2849,149,2648,49,3,0,0,0,0,One death of COVID-19 positive patient has occured due to non-covid reasons,
214,HP,Himachal Pradesh,HP_Hamirpur,Hamirpur,2829,222,2561,45,1,0,0,0,0,,
215,HP,Himachal Pradesh,HP_Kangra,Kangra,7700,524,6989,185,2,0,0,0,0,Death of Tibetan refugee on March 22 included in Kangra district's tally,
216,HP,Himachal Pradesh,HP_Kinnaur,Kinnaur,1313,32,1265,16,0,0,0,0,0,,
217,HP,Himachal Pradesh,HP_Kullu,Kullu,4349,80,4185,82,2,0,0,0,0,,
218,HP,Himachal Pradesh,HP_Lahaul and Spiti,Lahaul and Spiti,1241,40,1189,12,0,0,0,0,0,,
219,HP,Himachal Pradesh,HP_Mandi,Mandi,9636,581,8937,118,0,0,0,0,0,,
220,HP,Himachal Pradesh,HP_Shimla,Shimla,10047,327,9427,254,39,0,0,0,0,One death of COVID-19 positive patient has occured due to non-covid reasons,
221,HP,Himachal Pradesh,HP_Sirmaur,Sirmaur,3163,124,3010,29,0,0,0,0,0,,
222,HP,Himachal Pradesh,HP_Solan,Solan,6414,378,5967,69,0,0,0,0,0,,
223,HP,Himachal Pradesh,HP_Una,Una,2727,145,2546,36,0,0,0,0,0,,
0,HR,Haryana,HR_Foreign Evacuees,Foreign Evacuees,0,0,0,0,0,0,0,0,0,,
190,HR,Haryana,HR_Ambala,Ambala,11501,204,11154,143,0,0,0,0,0,,
191,HR,Haryana,HR_Bhiwani,Bhiwani,6239,23,6076,140,0,0,0,0,0,,
192,HR,Haryana,HR_Charkhi Dadri,Charkhi Dadri,1492,55,1412,25,0,0,0,0,0,,
193,HR,Haryana,HR_Faridabad,Faridabad,45468,427,44639,402,0,0,0,0,0,,
194,HR,Haryana,HR_Fatehabad,Fatehabad,4659,41,4502,116,0,0,0,0,0,,
195,HR,Haryana,HR_Gurugram,Gurugram,56744,975,55426,343,0,0,0,0,0,,
196,HR,Haryana,HR_Hisar,Hisar,16934,73,16544,317,0,0,0,0,0,,
0,HR,Haryana,HR_Italians,Italians,0,0,0,0,0,0,0,0,0,,
197,HR,Haryana,HR_Jhajjar,Jhajjar,5805,66,5648,91,0,0,0,0,0,,
198,HR,Haryana,HR_Jind,Jind,4718,136,4493,89,0,0,0,0,0,,
199,HR,Haryana,HR_Kaithal,Kaithal,3756,39,3668,49,0,0,0,0,0,,
200,HR,Haryana,HR_Karnal,Karnal,10785,251,10388,146,0,0,0,0,0,,
201,HR,Haryana,HR_Kurukshetra,Kurukshetra,8600,174,8300,126,0,0,0,0,0,,
202,HR,Haryana,HR_Mahendragarh,Mahendragarh,6578,36,6523,19,0,0,0,0,0,,
203,HR,Haryana,HR_Nuh,Nuh,1685,16,1639,30,0,0,0,0,0,,
204,HR,Haryana,HR_Palwal,Palwal,4373,28,4319,26,0,0,0,0,0,,
205,HR,Haryana,HR_Panchkula,Panchkula,9964,226,9596,142,0,0,0,0,0,,
206,HR,Haryana,HR_Panipat,Panipat,10497,221,10131,145,0,0,0,0,0,,
207,HR,Haryana,HR_Rewari,Rewari,11301,204,11024,73,0,0,0,0,0,,
208,HR,Haryana,HR_Rohtak,Rohtak,12064,142,11776,146,0,0,0,0,0,,
209,HR,Haryana,HR_Sirsa,Sirsa,7929,76,7740,113,0,0,0,0,0,,
210,HR,Haryana,HR_Sonipat,Sonipat,14506,199,14228,79,0,0,0,0,0,,
211,HR,Haryana,HR_Yamunanagar,Yamunanagar,6456,187,6130,139,0,0,0,0,0,,
246,JH,Jharkhand,JH_Bokaro,Bokaro,6493,78,6356,59,0,0,0,0,0,,
247,JH,Jharkhand,JH_Chatra,Chatra,1407,17,1379,11,0,0,0,0,0,,
248,JH,Jharkhand,JH_Deoghar,Deoghar,3607,20,3564,23,0,0,0,0,0,,
249,JH,Jharkhand,JH_Dhanbad,Dhanbad,7424,64,7256,104,0,0,0,0,0,,
250,JH,Jharkhand,JH_Dumka,Dumka,1374,13,1347,14,0,0,0,0,0,,
264,JH,Jharkhand,JH_East Singhbhum,East Singhbhum,17885,227,17303,355,0,0,0,0,0,,
251,JH,Jharkhand,JH_Garhwa,Garhwa,2785,33,2740,12,0,0,0,0,0,,
252,JH,Jharkhand,JH_Giridih,Giridih,3414,9,3391,14,0,0,0,0,0,,
253,JH,Jharkhand,JH_Godda,Godda,2075,9,2056,10,0,0,0,0,0,,
254,JH,Jharkhand,JH_Gumla,Gumla,2262,39,2219,4,0,0,0,0,0,,
255,JH,Jharkhand,JH_Hazaribagh,Hazaribagh,4372,75,4261,36,0,0,0,0,0,,
256,JH,Jharkhand,JH_Jamtara,Jamtara,1248,11,1233,4,0,0,0,0,0,,
257,JH,Jharkhand,JH_Khunti,Khunti,2108,7,2095,6,0,0,0,0,0,,
258,JH,Jharkhand,JH_Koderma,Koderma,3419,23,3368,28,0,0,0,0,0,,
259,JH,Jharkhand,JH_Latehar,Latehar,1884,20,1857,7,0,0,0,0,0,,
260,JH,Jharkhand,JH_Lohardaga,Lohardaga,1765,26,1729,10,0,0,0,0,0,,
261,JH,Jharkhand,JH_Pakur,Pakur,900,0,898,2,0,0,0,0,0,,
262,JH,Jharkhand,JH_Palamu,Palamu,3486,44,3422,20,0,0,0,0,0,,
265,JH,Jharkhand,JH_Ramgarh,Ramgarh,4447,65,4355,27,0,0,0,0,0,,
266,JH,Jharkhand,JH_Ranchi,Ranchi,30447,789,29441,217,0,0,0,0,0,,
267,JH,Jharkhand,JH_Sahibganj,Sahibganj,1631,14,1608,9,0,0,0,0,0,,
268,JH,Jharkhand,JH_Saraikela-Kharsawan,Saraikela-Kharsawan,3660,24,3624,12,0,0,0,0,0,,
269,JH,Jharkhand,JH_Simdega,Simdega,2016,16,1995,5,0,0,0,0,0,,
263,JH,Jharkhand,JH_West Singhbhum,West Singhbhum,4764,17,4709,38,0,0,0,0,0,,
224,JK,Jammu and Kashmir,JK_Anantnag,Anantnag,4782,101,4598,83,0,0,0,0,0,,
226,JK,Jammu and Kashmir,JK_Bandipora,Bandipora,4643,53,4530,60,0,0,0,0,0,,
227,JK,Jammu and Kashmir,JK_Baramulla,Baramulla,7950,114,7664,172,0,0,0,0,0,,
225,JK,Jammu and Kashmir,JK_Budgam,Budgam,7593,153,7332,108,0,0,0,0,0,,
228,JK,Jammu and Kashmir,JK_Doda,Doda,3385,56,3266,63,0,0,0,0,0,,
229,JK,Jammu and Kashmir,JK_Ganderbal,Ganderbal,4462,77,4342,43,0,0,0,0,0,,
